CellID, Experimenter, Species, Channel, CellType, Path, Status
434_1, OH, Mouse, ch2, DAFill, \002_141119A4_OH\002_141119A4MMP15SNcDA_OH, 1
435_1, OH, Mouse, ch2, DAFill, \002_141119A5_OH\002_141119A5MMP15SNcDA_OH, 1
436_1, OH, Mouse, ch2, DAFill, \002_141119A6_OH\002_141119A6MMP15SNcDA_OH, 1
437_1, OH, Mouse, ch2, DAFill, \002_141119B1_OH\002_141119B1MMP15SNcDA_OH, 1
438_1, OH, Mouse, ch2, DAFill, \002_141119B2_OH\002_141119B2MMP15SNcDA_OH, 1
439_1, OH, Mouse, ch2, DAFill, \002_141119B3_OH\002_141119B3MMP15SNcDA_OH, 1
440_1, OH, Mouse, ch2, DAFill, \002_141119B4_OH\002_141119B4MMP15SNcDA_OH, 1
441_1, OH, Mouse, ch2, DAFill, \002_141120A1_OH\002_141120A1MMP16SNcDA_OH, 1
442_1, OH, Mouse, ch2, DAFill, \002_141120A2_OH\002_141120A2MMP16SNcDA_OH, 1
443_1, OH, Mouse, ch2, DAFill, \002_141120A3_OH\002_141120A3MMP16SNcDA_OH, 1
444_1, OH, Mouse, ch2, DAFill, \002_141120A4_OH\002_141120A4MMP16SNcDA_OH, 1
445_1, OH, Mouse, ch2, DAFill, \002_141120A5_OH\002_141120A5MMP16SNcDA_OH, 1
446_1, OH, Mouse, ch2, DAFill, \002_141120B1_OH\002_141120B1MMP16SNcDA_OH, 1
447_1, OH, Mouse, ch2, DAFill, \002_141120B2_OH\002_141120B2MMP16SNcDA_OH, 1
448_1, OH, Mouse, ch2, DAFill, \002_141120B3_OH\002_141120B3MMP16SNcDA_OH, 1
449_1, OH, Mouse, ch2, DAFill, \002_141120B4_OH\002_141120B4MMP16SNcDA_OH, 1
450_1, OH, Mouse, ch2, DAFill, \002_141120B5_OH\002_141120B5MMP16SNcDA_OH, 1
451_1, OH, Mouse, ch2, DAFill, \002_141124A1_OH\002_141124A1MMP14SNcDA_OH, 1
452_1, OH, Mouse, ch2, DAFill, \002_141124A2_OH\002_141124A2MMP14SNcDA_OH, 0
453_1, OH, Mouse, ch2, DAFill, \002_141124A3_OH\002_141124A3MMP14SNcDA_OH, 1
454_1, OH, Mouse, ch2, DAFill, \002_141124A4_OH\002_141124A4MMP14SNcDA_OH, 1
455_1, OH, Mouse, ch2, DAFill, \002_141124A5_OH\002_141124A5MMP14SNcDA_OH, 1
456_1, OH, Mouse, ch2, DAFill, \002_141124B1_OH\002_141124B1MMP14SNcDA_OH, 1
457_1, OH, Mouse, ch2, DAFill, \002_141124B2_OH\002_141124B2MMP14SNcDA_OH, 1
458_1, OH, Mouse, ch2, DAFill, \002_141124B3_OH\002_141124B3MMP14SNcDA_OH, 1
459_1, OH, Mouse, ch2, DAFill, \002_141124B4_OH\002_141124B4MMP14SNcDA_OH, 1
460_1, OH, Mouse, ch2, DAFill, \002_141124B5_OH\002_141124B5MMP14SNcDA_OH, 1
461_1, OH, Mouse, ch2, DAFill, \002_141209A1_OH\002_141209A1MMP16SNcDA_OH, 0
462_1, OH, Mouse, ch2, DAFill, \002_141209A2_OH\002_141209A2MMP16SNcDA_OH, 1
463_1, OH, Mouse, ch2, DAFill, \002_141209A3_OH\002_141209A3MMP16SNcDA_OH, 1
464_1, OH, Mouse, ch2, DAFill, \002_141209A4_OH\002_141209A4MMP16SNcDA_OH, 1
465_1, OH, Mouse, ch2, DAFill, \002_141209A5_OH\002_141209A5MMP16SNcDA_OH, 1
466_1, OH, Mouse, ch2, DAFill, \002_141209B1_OH\002_141209B1MMP16SNcDA_OH, 1
467_1, OH, Mouse, ch2, DAFill, \002_141209B2_OH\002_141209B2MMP16SNcDA_OH, 1
468_1, OH, Mouse, ch2, DAFill, \002_141209B3_OH\002_141209B3MMP16SNcDA_OH, 1
469_1, OH, Mouse, ch2, DAFill, \002_150313A1_OH\002_150313A1MMP16SNcDA_OH, 1
470_1, OH, Mouse, ch2, DAFill, \002_150313A2_OH\002_150313A2MMP16SNcDA_OH, 1
471_1, OH, Mouse, ch2, DAFill, \002_150313A3_OH\002_150313A3MMP16SNcDA_OH, 1
472_1, OH, Mouse, ch2, DAFill, \002_150313A4_OH\002_150313A4MMP16SNcDA_OH, 1
473_1, OH, Mouse, ch2, DAFill, \002_150313A5_OH\002_150313A5MMP16SNcDA_OH, 1
474_1, OH, Mouse, ch2, DAFill, \002_150313B1_OH\002_150313B1MMP16SNcDA_OH, 1
475_1, OH, Mouse, ch2, DAFill, \002_150313B2_OH\002_150313B2MMP16SNcDA_OH, 1
476_1, OH, Mouse, ch2, DAFill, \002_150313B3_OH\002_150313B3MMP16SNcDA_OH, 1
477_1, OH, Mouse, ch2, DAFill, \002_150313B4_OH\002_150313B4MMP16SNcDA_OH, 1
478_1, OH, Mouse, ch2, DAFill, \002_150313B5_OH\002_150313B5MMP16SNcDA_OH, 1
479_1, OH, Mouse, ch2, DAFill, \002_150313B6_OH\002_150313B6MMP16SNcDA_OH, 1
480_1, OH, Mouse, ch2, DAFill, \002_150313B7_OH\002_150313B7MMP16SNcDA_OH, 1
481_1, OH, Mouse, ch2, DAFill, \002_150316A1_OH\002_150316A1MMP14SNcDA_OH, 1
482_1, OH, Mouse, ch2, DAFill, \002_150316A2_OH\002_150316A2MMP14SNcDA_OH, 1
483_1, OH, Mouse, ch2, DAFill, \002_150316A3_OH\002_150316A3MMP14SNcDA_OH, 1
484_1, OH, Mouse, ch2, DAFill, \002_150316A4_OH\002_150316A4MMP14SNcDA_OH, 1
485_1, OH, Mouse, ch2, DAFill, \002_150316A5_OH\002_150316A5MMP14SNcDA_OH, 1
486_1, OH, Mouse, ch2, DAFill, \002_150316B1_OH\002_150316B1MMP14SNcDA_OH, 1
487_1, OH, Mouse, ch2, DAFill, \002_150316B2_OH\002_150316B2MMP14SNcDA_OH, 1
488_1, OH, Mouse, ch2, DAFill, \002_150316B3_OH\002_150316B3MMP14SNcDA_OH, 1
489_1, OH, Mouse, ch2, DAFill, \002_150316B4_OH\002_150316B4MMP14SNcDA_OH, 1
